timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,poll_interval_s,tx_retries_per_s,tx_failed_per_s,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-22 19:19:02,42.52,53.33,instantaneous_fallback,129.0,87.0,,7.0,1252.57,1262.86,-55.5,2,-1.0,-54.3,medium_load,0.2835,0.5333,0.4025,0.29,0.4207,1
2026-08-22 19:19:06,43.76,48.28,instantaneous_fallback,161.75,187.0,,4.0,2344.0,2345.0,-56.0,2,-0.5,-54.7,medium_load,0.2917,0.4828,0.7502,0.6233,0.5191,2
2026-08-22 19:19:11,41.47,68.97,instantaneous_fallback,161.25,289.0,,5.0,1614.8,1663.6,-55.5,2,0.5,-55.0,medium_load,0.2765,0.6897,0.5245,0.9633,0.6151,2
2026-08-22 19:19:16,40.44,53.33,instantaneous_fallback,83.0,87.0,,5.0,1835.6,1854.0,-53.5,2,2.0,-55.0,medium_load,0.2696,0.5333,0.5903,0.29,0.4555,1
2026-08-22 19:19:21,52.73,53.33,instantaneous_fallback,160.25,244.0,,5.0,2087.6,2113.2,-55.0,2,-1.5,-55.1,medium_load,0.3515,0.5333,0.6721,0.8133,0.5667,2
2026-08-22 19:19:26,44.77,60.0,instantaneous_fallback,105.75,240.0,,5.0,1254.8,1304.4,-54.0,2,1.0,-54.8,medium_load,0.2985,0.6,0.4095,0.8,0.5316,2
2026-08-22 19:19:43,0.0,43.33,instantaneous,386.0,825.0,,0.0,0.0,0.0,-53.5,2,0.0,-53.5,high_load,0.0,0.4333,0.0,1.0,0.345,1
2026-08-22 19:19:58,51.11,50.0,instantaneous_fallback,89.5,136.0,,15.0,228.0,250.93,-54.0,2,-0.5,-53.75,high_load,0.3407,0.5,0.0766,0.4533,0.3765,1
2026-08-22 19:20:04,45.03,56.67,instantaneous_fallback,131.25,279.0,,6.0,1203.33,1212.0,-54.5,2,-0.5,-54.0,high_load,0.3002,0.5667,0.3865,0.93,0.5319,2
2026-08-22 19:20:09,57.51,50.0,instantaneous_fallback,75.25,106.0,,5.0,2156.4,2161.2,-54.0,2,0.5,-54.0,high_load,0.3834,0.5,0.6908,0.3533,0.4928,1
2026-08-22 19:20:13,42.55,53.33,instantaneous_fallback,68.5,95.0,,4.0,2698.0,2719.0,-55.0,2,-1.0,-54.2,high_load,0.2837,0.5333,0.8667,0.3167,0.5176,2
2026-08-22 19:20:18,45.59,50.0,instantaneous_fallback,119.0,196.0,,5.0,2866.8,2872.4,-53.5,2,1.5,-54.2,high_load,0.3039,0.5,0.9183,0.6533,0.5674,2
2026-08-22 19:20:23,38.64,46.67,instantaneous_fallback,46.333,34.0,,5.0,2051.2,2053.6,-55.5,2,-2.0,-54.5,high_load,0.2576,0.4667,0.6568,0.1133,0.4099,1
2026-08-22 19:20:28,64.14,50.0,instantaneous_fallback,65.75,201.0,,5.0,2760.8,2762.4,-56.5,2,-1.0,-54.9,high_load,0.4276,0.5,0.8837,0.67,0.5878,2
2026-08-22 19:20:32,54.84,56.67,instantaneous_fallback,81.25,136.0,,4.0,2839.0,2962.0,-52.5,2,4.0,-54.6,high_load,0.3656,0.5667,0.9282,0.4533,0.5818,2
2026-08-22 19:20:37,52.22,53.33,instantaneous_fallback,62.0,48.0,,5.0,1727.6,1727.6,-55.0,2,-2.5,-54.6,high_load,0.3481,0.5333,0.5528,0.16,0.4442,1
2026-08-22 19:20:41,54.92,60.0,instantaneous_fallback,78.75,63.0,,4.0,2466.5,2466.5,-54.0,2,1.0,-54.7,high_load,0.3661,0.6,0.7893,0.21,0.5326,2
2026-08-22 19:20:46,50.77,53.33,instantaneous_fallback,41.5,30.0,,5.0,1939.6,1966.0,-56.0,2,-2.0,-54.8,high_load,0.3385,0.5333,0.6249,0.1,0.4477,1
2026-08-22 19:22:37,0.0,50.0,instantaneous,164.5,207.0,,0.0,0.0,0.0,-55.0,2,0.0,-55.0,stress_load,0.0,0.5,0.0,0.69,0.3285,1
2026-08-22 19:22:54,55.38,80.0,instantaneous_fallback,121.25,214.0,,17.0,272.94,318.12,-55.0,2,0.0,-55.0,stress_load,0.3692,0.8,0.0946,0.7133,0.5598,2
2026-08-22 19:23:03,50.46,62.07,instantaneous_fallback,80.5,66.0,,9.0,1307.11,1339.56,-55.0,2,0.0,-55.0,stress_load,0.3364,0.6207,0.4235,0.22,0.4643,1
