sample_id,timestep,throughput_mbps,channel_occupancy_percent,latency_ms,jitter_ms,tx_retries_delta,tx_failed_delta,rssi_dbm,rssi_delta_db,rssi_moving_avg_dbm,label,scenario
347,8,0.4681978049917369,0.26548672566371684,0.09950248756218906,0.0944055944055944,0.23422871344431961,0.2085038033760645,0.7719196038450336,0.8269230769230769,0.6586102719033233,2,high_load
347,9,0.4595109962286537,0.2827358632068397,0.11608623548922056,0.15734265734265734,0.1812548939502264,0.16134800133345456,0.7282260413632392,0.5576923076923077,0.6918429003021149,2,high_load
348,0,0.34149752108140174,0.40002999850007503,0.12230514096185738,0.15151515151515152,0.25131923875668133,0.22371730763402733,0.5097582289542675,0.5576923076923077,0.540785498489426,1,high_load
348,1,0.3178524513750583,0.5000749962501875,0.1011608623548922,0.14801864801864803,0.36591427501446905,0.33433342425068946,0.5680163122633266,0.6923076923076923,0.5438066465256799,1,high_load
348,2,0.0,0.05009749512524376,0.12686567164179105,0.1794871794871795,0.0,0.0,0.742790562190504,0.6153846153846154,0.7492447129909366,1,high_load
348,3,0.28395270986058735,0.40002999850007503,0.07504145936981758,0.019813519813519812,0.1603513430701665,0.1427402491135558,0.5680163122633266,0.38461538461538464,0.6586102719033233,1,high_load
348,4,0.30306368913937026,0.25003749812509374,0.11608623548922056,0.0,0.26262213597521533,0.2337788283783374,0.5825808330905914,0.6346153846153846,0.633534743202417,1,high_load
348,5,0.557057502436544,0.8000599970001501,0.05085737976782753,0.019813519813519812,0.0740816396009941,0.06606661211625299,0.742790562190504,0.8269230769230769,0.6622356495468278,1,high_load
348,6,0.7110894529429213,0.2999850007499625,0.059286898839137646,0.04195804195804196,0.181799611888469,0.1618328938994454,0.611709874745121,0.4423076923076923,0.6525679758308156,1,high_load
348,7,0.4681978049917369,0.26548672566371684,0.09950248756218906,0.0944055944055944,0.23422871344431961,0.2085038033760645,0.7719196038450336,0.8269230769230769,0.6586102719033233,1,high_load
348,8,0.4595109962286537,0.2827358632068397,0.11608623548922056,0.15734265734265734,0.1812548939502264,0.16134800133345456,0.7282260413632392,0.5576923076923077,0.6918429003021149,1,high_load
348,9,0.33492944616297304,0.3500824958752063,0.06412437810945273,0.029137529137529136,0.22496850849419536,0.20413977028214686,0.8593067288086222,0.7884615384615384,0.7492447129909366,1,high_load
349,0,0.3178524513750583,0.5000749962501875,0.1011608623548922,0.14801864801864803,0.36591427501446905,0.33433342425068946,0.5680163122633266,0.6923076923076923,0.5438066465256799,1,high_load
349,1,0.0,0.05009749512524376,0.12686567164179105,0.1794871794871795,0.0,0.0,0.742790562190504,0.6153846153846154,0.7492447129909366,1,high_load
349,2,0.28395270986058735,0.40002999850007503,0.07504145936981758,0.019813519813519812,0.1603513430701665,0.1427402491135558,0.5680163122633266,0.38461538461538464,0.6586102719033233,1,high_load
349,3,0.30306368913937026,0.25003749812509374,0.11608623548922056,0.0,0.26262213597521533,0.2337788283783374,0.5825808330905914,0.6346153846153846,0.633534743202417,1,high_load
349,4,0.557057502436544,0.8000599970001501,0.05085737976782753,0.019813519813519812,0.0740816396009941,0.06606661211625299,0.742790562190504,0.8269230769230769,0.6622356495468278,1,high_load
349,5,0.7110894529429213,0.2999850007499625,0.059286898839137646,0.04195804195804196,0.181799611888469,0.1618328938994454,0.611709874745121,0.4423076923076923,0.6525679758308156,1,high_load
349,6,0.4681978049917369,0.26548672566371684,0.09950248756218906,0.0944055944055944,0.23422871344431961,0.2085038033760645,0.7719196038450336,0.8269230769230769,0.6586102719033233,1,high_load
349,7,0.4595109962286537,0.2827358632068397,0.11608623548922056,0.15734265734265734,0.1812548939502264,0.16134800133345456,0.7282260413632392,0.5576923076923077,0.6918429003021149,1,high_load
349,8,0.33492944616297304,0.3500824958752063,0.06412437810945273,0.029137529137529136,0.22496850849419536,0.20413977028214686,0.8593067288086222,0.7884615384615384,0.7492447129909366,1,high_load
349,9,0.21678884698504172,0.4499775011249437,0.0,0.0,0.25104687978756,0.22347486135103192,0.8593067288086222,0.6153846153846154,0.7734138972809668,1,high_load
